订单号,订单类型,币种,法币,总价,价格,数量,汇率,交易方,状态,创建时间
20178588789849104384,购买,USDT,CNY,2000.0000000000000000,6.4600000000000000,309.5900000000000000,"",桥水基金-静静,已完成,2021-01-02 07:34:49
20178676178121609216,购买,USDT,CNY,3000.0000000000000000,6.4900000000000000,462.2400000000000000,"",财神,已完成,2021-01-02 13:22:04
20179221811372494848,出售,USDT,CNY,135.0800000000000000,6.3600000000000000,21.2400000000000000,"",光速，秒结,已完成,2021-01-04 01:30:14
20179602288054706176,出售,USDT,CNY,22500.0000000000000000,6.4400000000000000,3493.7800000000000000,"",三盛安全快捷,已完成,2021-01-05 02:42:06
20179606831369490432,购买,USDT,CNY,1341.4500000000000000,6.4700000000000000,207.3300000000000000,"",向前看的小谭,已完成,2021-01-05 03:00:09
20179656730553520128,出售,USDT,CNY,500.0000000000000000,6.3700000000000000,78.4900000000000000,"",振宇国际—极速到账,已完成,2021-01-05 06:18:27
20182209619503648768,出售,USDT,CNY,23000.0000000000000000,6.4300000000000000,3576.9800000000000000,"",牛转乾坤,已完成,2021-01-12 07:22:43
20182230707748679680,出售,USDT,CNY,116776.0100000000000000,6.4200000000000000,18189.4100000000000000,"",钱多多资本,已完成,2021-01-12 08:46:30
20182657431947927552,购买,ETH,CNY,10000.0000000000000000,6976.5300000000000000,1.4333773300000000,6.47,24小时在线★资金安全,已取消,2021-01-13 13:02:09
20183726525906599936,购买,USDT,CNY,3000.0000000000000000,6.4100000000000000,468.0100000000000000,"",热情如火,已取消,2021-01-16 11:50:21
20183726907951382528,购买,USDT,CNY,1500.0000000000000000,6.4200000000000000,233.6400000000000000,"",富安达OTC,已取消,2021-01-16 11:51:52
20183727049462890496,购买,USDT,CNY,1500.0000000000000000,6.4200000000000000,233.6400000000000000,"",富安达OTC,已取消,2021-01-16 11:52:26
20183949782524215296,购买,USDT,CNY,2500.0000000000000000,6.4100000000000000,390.0100000000000000,"",币涨涨vip,已完成,2021-01-17 02:37:30
20187206971580882944,购买,USDT,CNY,11900.0000000000000000,6.4100000000000000,1856.4700000000000000,"",桥水基金-静静,已取消,2021-01-26 02:20:24
