订单号,订单类型,币种,法币,总价,价格,数量,汇率,交易方,状态,创建时间
20147027159052058624,出售,USDT,CNY,33447.1500000000000000,6.7300000000000000,4969.8600000000000000,"",正义联盟,已完成,2020-10-07 05:20:11
20149931264026378240,购买,USDT,CNY,13000.0000000000000000,6.7000000000000000,1940.2900000000000000,"",绵阳诚信币商,已完成,2020-10-15 05:40:03
20150238888100556800,购买,USDT,CNY,500.0000000000000000,6.7300000000000000,74.2900000000000000,"",火凤凰,已取消,2020-10-16 02:02:26
20151453830759231488,购买,USDT,CNY,2000.0000000000000000,6.6300000000000000,301.6500000000000000,"",金牌承兑,已完成,2020-10-19 10:30:11
20154635267385962496,购买,USDT,CNY,2000.0000000000000000,6.6600000000000000,300.3000000000000000,"",金牌承兑,已完成,2020-10-28 05:12:05
20164697795476758528,购买,USDT,CNY,666.0000000000000000,6.6000000000000000,100.9000000000000000,"",光辉岁月,已完成,2020-11-24 23:36:59
20164804047211868160,购买,USDT,CNY,2000.0000000000000000,6.5100000000000000,307.2100000000000000,"",华丽OTC币行,已完成,2020-11-25 06:39:11
20164809919652638720,购买,USDT,CNY,4000.0000000000000000,6.5300000000000000,612.5500000000000000,"",金牌承兑,已完成,2020-11-25 07:02:32
20165522998369435648,购买,USDT,CNY,3000.0000000000000000,6.5500000000000000,458.0100000000000000,"",金牌承兑,已完成,2020-11-27 06:16:03
20165529697758896128,购买,USDT,CNY,3000.0000000000000000,6.5400000000000000,458.7100000000000000,"",币涨涨vip,已完成,2020-11-27 06:42:40
20166655342884917248,购买,USDT,CNY,2000.0000000000000000,6.4900000000000000,308.1600000000000000,"",向前看的小谭,已完成,2020-11-30 09:15:34
20166969229269499904,购买,USDT,CNY,521.6800000000000000,6.4600000000000000,80.7500000000000000,"",向前看的小谭,已完成,2020-12-01 06:02:50
20166978226839961600,购买,USDT,CNY,1000.0000000000000000,6.4600000000000000,154.7900000000000000,"",向前看的小谭,已完成,2020-12-01 06:38:36
20167401839249412096,购买,USDT,CNY,1000.0000000000000000,6.4500000000000000,155.0300000000000000,"",诚信为本,已完成,2020-12-02 10:41:53
20167444636350283776,购买,USDT,CNY,1384.7600000000000000,6.4600000000000000,214.3500000000000000,"",诚信为本,已完成,2020-12-02 13:31:56
20167674310118916096,购买,USDT,CNY,3000.0000000000000000,6.4500000000000000,465.1100000000000000,"",币涨涨vip,已完成,2020-12-03 04:44:35
20167847016236404736,购买,USDT,CNY,2376.4100000000000000,6.4700000000000000,367.2900000000000000,"",诚信安全保障,已完成,2020-12-03 16:10:51
20168308157551976448,出售,USDT,CNY,2283.5200000000000000,6.3800000000000000,357.9200000000000000,"",诚信安全保障,已完成,2020-12-04 22:43:17
20173959653246795776,购买,USDT,CNY,3000.0000000000000000,6.4300000000000000,466.5600000000000000,"",♥️♥️24小时秒放♥️♥️,已完成,2020-12-20 13:00:17
20174521890930257920,购买,USDT,CNY,6000.0000000000000000,6.4500000000000000,930.2300000000000000,"",币涨涨vip,已完成,2020-12-22 02:14:25
20174625028064587776,购买,USDT,CNY,2000.0000000000000000,6.4600000000000000,309.5900000000000000,"",晨琛,已完成,2020-12-22 09:04:15
20174630927949516800,购买,USDT,CNY,1500.0000000000000000,6.4600000000000000,232.1900000000000000,"",晨琛,已完成,2020-12-22 09:27:42
20174642174212263936,购买,USDT,CNY,5000.0000000000000000,6.4600000000000000,773.9900000000000000,"",马小姐的店,已完成,2020-12-22 10:12:23
20174708110679519232,购买,USDT,CNY,1000.0000000000000000,6.4600000000000000,154.7900000000000000,"",向前看的小谭,已完成,2020-12-22 14:34:23
20174712460609736704,出售,USDT,CNY,18030.2300000000000000,6.4300000000000000,2804.0800000000000000,"",会飞的鱼儿,已完成,2020-12-22 14:51:42
20174714195981201408,购买,USDT,CNY,18000.0000000000000000,6.4500000000000000,2790.6900000000000000,"",急速商行安全秒放,已完成,2020-12-22 14:58:34
20175045987816722432,购买,USDT,CNY,5800.0000000000000000,6.4800000000000000,895.0600000000000000,"",一策一路,已完成,2020-12-23 12:57:00
20175671195941584896,购买,USDT,CNY,11600.0000000000000000,6.4600000000000000,1795.6600000000000000,"",UU旗舰店,已完成,2020-12-25 06:21:21
20176369290801586176,购买,USDT,CNY,1198.6400000000000000,6.4700000000000000,185.2600000000000000,"",晨琛,已完成,2020-12-27 04:35:19
20176421861096837120,购买,USDT,CNY,7500.0000000000000000,6.5000000000000000,1153.8400000000000000,"",在线秒付秒放,已取消,2020-12-27 08:04:13
20176422214526832640,购买,USDT,CNY,7500.0000000000000000,6.4800000000000000,1157.4000000000000000,"",诚信为本,已完成,2020-12-27 08:05:37
20177488876245200896,出售,USDT,CNY,531.6200000000000000,6.4400000000000000,82.5500000000000000,"",向前看的小谭,已完成,2020-12-30 06:44:10
20177490249951064064,出售,BUSD,CNY,529.3200000000000000,6.4200000000000000,82.4491710000000000,6.46,诚信为本,已完成,2020-12-30 06:49:37
