订单号,订单类型,币种,法币,总价,价格,数量,汇率,交易方,状态,创建时间
20244094137811197952,购买,USDT,CNY,2092.4900000000000000,6.4200000000000000,325.9300000000000000,"",伟豪商行,已完成,2021-07-02 01:49:41
20252870009589825536,购买,USDT,CNY,19298.5800000000000000,6.4600000000000000,2987.3900000000000000,"",币多多,已完成,2021-07-26 07:01:52
20254311813640441856,购买,USDT,CNY,800.0000000000000000,6.4600000000000000,123.8300000000000000,"",可姐,已完成,2021-07-30 06:31:05
20254335779228463104,购买,USDT,CNY,2299.7900000000000000,6.4500000000000000,356.5500000000000000,"",币大佬,已完成,2021-07-30 08:06:19
20256232637519261696,购买,USDT,CNY,9741.0000000000000000,6.4400000000000000,1512.5700000000000000,"",王尼玛诚信秒放,已完成,2021-08-04 13:43:45
20267799915103731712,购买,USDT,CNY,150000.0000000000000000,6.4000000000000000,23437.5000000000000000,"",⭐富力财团⭐安全可靠⭐,已取消,2021-09-05 11:47:59
20267800210033750016,购买,USDT,CNY,150000.0000000000000000,6.4000000000000000,23437.5000000000000000,"",⭐富力财团⭐安全可靠⭐,系统已取消,2021-09-05 11:49:09
20267805081091170304,购买,USDT,CNY,150000.0000000000000000,6.4000000000000000,23437.5000000000000000,"",⭐合众资本✔大额保障⭐,系统已取消,2021-09-05 12:08:31
20268332462464557056,购买,USDT,CNY,117000.0000000000000000,6.3900000000000000,18309.8500000000000000,"",⭐汇通财富✔资金保障⭐,已完成,2021-09-06 23:04:08
20268668934249742336,购买,USDT,CNY,33000.0000000000000000,6.5100000000000000,5069.1200000000000000,"",牛气冲天,已取消,2021-09-07 21:21:09
20268671792437530624,购买,USDT,CNY,33000.0000000000000000,6.5100000000000000,5069.1200000000000000,"",牛气冲天,已完成,2021-09-07 21:32:31
20275391005039288320,购买,USDT,CNY,1000.0000000000000000,6.2200000000000000,160.7700000000000000,"",一本万利,已取消,2021-09-26 10:32:16
20276875644120064000,购买,USDT,CNY,5000.0000000000000000,6.2800000000000000,796.1700000000000000,"",特快专列,已完成,2021-09-30 12:51:41
